Timestamp(s)	        X(m)	                Y(m)	                Z(m)	                Roll(deg)	        Pitch(deg)	        Yaw(deg)	        Std.X(m)	        Std.Y(m)	        Std.Z(m)	        TrackingStatus
0.209493935108185	9.60852357382084	9.38574216927911	1.08418870268453	-2.70968592964903	-4.82000002645313	72.0003140703510	0.00136232983599875	0.00152509423602770	0.00536087347178808	0
0.387998297810555	9.60871407992787	9.38582344397988	1.08412744341144	-2.72000000000000	-4.81988471177945	72.0200000000000	0.00136295365527275	0.00152550647704828	0.00536092128998178	0
0.518504530191422	9.60861771700138	9.38578646901791	1.08417149255621	-2.70000000000000	-4.81000000000000	72.0400000000000	0.00136341553379920	0.00152581284717584	0.00536095502983650	0
0.634496659040451	9.60866695408535	9.38590075202528	1.08423456094102	-2.70343407882261	-4.81343448894124	72.0465659211774	0.00136383053255014	0.00152608889369894	0.00536098681892548	0
0.751011818647385	9.60866646673598	9.38606452446102	1.08410585797459	-2.71037487946958	-4.81481257861540	72.0599995627377	0.00136425217684053	0.00152636879235936	0.00536101885617018	0
0.945498794317246	9.60872835788532	9.38592640770617	1.08423245623620	-2.71378310844578	-4.81000000000000	72.0900000000000	0.00136496863655979	0.00152684192765902	0.00536107243298964	0
1.20550543069839	9.60877366597037	9.38568494289312	1.08418503795808	-2.70762550200803	-4.82000000000000	72.1000000000000	0.00136594671719931	0.00152748404574977	0.00536114634167933	0
1.38550847768784	9.60851104804869	9.38565409691933	1.08426374129938	-2.70000000000000	-4.83000000000000	72.1200000000000	0.00136663590530423	0.00152793836838797	0.00536119760324694	0
1.50900408625603	9.60859558825282	9.38572408270551	1.08419275097046	-2.70540274029132	-4.82459771151091	72.1145972597087	0.00136711258925295	0.00152825789734031	0.00536123369928540	0
1.63300260901451	9.60878414983139	9.38593491496877	1.08416028548556	-2.71139484604405	-4.81569744104712	72.1300004293583	0.00136759743057345	0.00152858208890049	0.00536127084747986	0
1.75000056624413	9.60853270173997	9.38567235815913	1.08425170086516	-2.68119075916783	-4.81559593424672	72.1144049441639	0.00136805894654009	0.00152888808940090	0.00536130407464802	0
1.87999382615089	9.60857017151245	9.38569034804088	1.08419275732365	-2.70314269802306	-4.82628451730284	72.1431426980231	0.00136858212191045	0.00152923004327433	0.00536134435302557	0
2.01450325548649	9.60841201081439	9.38559349931784	1.08409950727381	-2.69999983534271	-4.83901104418531	72.1409889697046	0.00136912679435135	0.00152958752790824	0.00536138546609145	0
2.13400572538376	9.60876109473183	9.38564498259834	1.08419157493312	-2.67999996585143	-4.83040644361743	72.1595935592581	0.00136961715328982	0.00152990934382065	0.00536142344623218	0
2.26100161671639	9.60860602181571	9.38569802402861	1.08406419736744	-2.69790611381199	-4.82209447630135	72.1741882073721	0.00137013921234868	0.00153026035291646	0.00536146161068458	0
2.45450288057327	9.60883532731540	9.38575474913762	1.08426840323779	-2.69922515724027	-4.83000012953463	72.1807748427598	0.00137094909442137	0.00153079557008273	0.00536152449024766	0
2.63200141489506	9.60832459798332	9.38548534367919	1.08421636017457	-2.69476537122280	-4.82523508252563	72.2152346287772	0.00137170329849435	0.00153129343826492	0.00536157818113424	0
2.75399833917618	9.60869052497719	9.38557696378496	1.08420537372778	-2.68825340016055	-4.82587279012290	72.2441263816802	0.00137223158538829	0.00153163612933173	0.00536161981071928	0
2.87900269031525	9.60882155976537	9.38573469051856	1.08421335290723	-2.67852767329393	-4.83000000000000	72.2300000000000	0.00137277127084766	0.00153199544148599	0.00536166188592980	0
3.00899595022202	9.60851860811736	9.38548445994920	1.08416896228645	-2.69418656725585	-4.83581302592070	72.2641865672559	0.00137334405845479	0.00153236927974643	0.00536170375592055	0
3.13450321555138	9.60846053615676	9.38538427777227	1.08416117895583	-2.68928170675180	-4.82928171166727	72.2500000583873	0.00137389510937065	0.00153273987048625	0.00536174451555076	0
3.25950756669045	9.60845365847538	9.38545115087137	1.08421680610173	-2.68058537480880	-4.82058547505998	72.2694146251912	0.00137445222054464	0.00153311038078227	0.00536178588808099	0
3.38650345802307	9.60870000519863	9.38568275284522	1.08413255422968	-2.69553125000000	-4.82000000000000	72.2700000000000	0.00137502222061592	0.00153349195875425	0.00536183054507447	0
3.51149775087833	9.60864310492473	9.38562442743154	1.08407792141140	-2.70343039635141	-4.82656962025496	72.2799998026339	0.00137559154309123	0.00153386658413903	0.00536187387153277	0
3.63599918782711	9.60852763915144	9.38547140906140	1.08414568081716	-2.68000021795619	-4.82466450486363	72.2946644865320	0.00137616412952676	0.00153424148234823	0.00536191611538187	0
3.76050062477589	9.60870667518469	9.38566581406683	1.08408150859141	-2.70057590050366	-4.82471206810070	72.2899995635682	0.00137673715230437	0.00153462739049277	0.00536196081385760	0
3.89400422573090	9.60854678566061	9.38556740605596	1.08420753330619	-2.71717541070482	-4.82000000000000	72.3100000000000	0.00137735964579717	0.00153504381462749	0.00536200660839215	0
4.01849560439587	9.60847925028242	9.38538289817836	1.08414439448287	-2.68860244233379	-4.82000000000000	72.3000000000000	0.00137794574068088	0.00153542937503320	0.00536205035412511	0
4.13500070571899	9.60852679773315	9.38553224830730	1.08414479315800	-2.70333165828597	-4.82000024145248	72.3083341708641	0.00137849773700564	0.00153579900434013	0.00536209273904253	0
4.26249951124191	9.60848306108839	9.38554206192750	1.08420819600784	-2.72000000000000	-4.82000000000000	72.2900000000000	0.00137910286300703	0.00153621037411218	0.00536213871768464	0
4.38750386238098	9.60859456505357	9.38539556524771	1.08414126514301	-2.68333522404992	-4.82000000000000	72.2900000000000	0.00137970916095110	0.00153660446150802	0.00536218479037920	0
